Major	Platform	R level	Other programming
Math-BS	PC	beginner	none
Math-BS	Mac	beginner	none (just some SAS and MATLAB)
"Finance-BS, Finance-MS"	PC	Int	"Matlab, SAS, some SQL"
Math(Stat)-BS	PC	intermediate	"minitab,SAS,Python"
Math(Stat)-BS	PC	Intermediate	"Minitab,SAS,Python,SQL,C++,R,SPSS"
"Math, History"	PC-Surface	beginner	Obj-C
Math	PC	beginner	none
"Econ, Math"	PC	beginner	Java
Econ/Stat	Mac	intermediate	"Python,SAS"
Econ/Math/STAT	PC	Intermediate	NONE (teeny amount of SAS)
DAAS	PC	beg/intermed	some SAS
Finance Engineer BS STAT-Master	MAC	Intermed	python/matlab/java/Linux/C++
mechanical Eng	PC	beg/intermediate	matlab/java/C++
Math/Stat	PC	int 	Matlab/Java/SAS/python
